"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
3131	2020-03-12 17:00:00	"DA"	"OBLAÈNO"	32	"MOŠKI"	0,08
416	2020-01-08 13:00:00	"DA"	"OBLAÈNO"	71	"MOŠKI"	0
3943	2020-04-11 10:00:00	"DA"	"JASNO"	54	"MOŠKI"	0
1313	2020-01-31 10:00:00	"NE"	"OBLAÈNO"	45	"MOŠKI"	0
1224	2020-01-29 13:00:00	"NE"	"JASNO"	66	"MOŠKI"	0
5465	2020-06-01 15:00:00	"NE"	"OBLAÈNO"	49	"MOŠKI"	0
3078	2020-03-03 14:00:00	"DA"	"OBLAÈNO"	89	"MOŠKI"	0
4092	2020-04-23 18:00:00	"NE"	"JASNO"	60	"ŽENSKI"	0
5650	2020-06-04 11:00:00	"DA"	"JASNO"	75	"MOŠKI"	0
4191	2020-04-28 10:00:00	"DA"	"OBLAÈNO"	81	"MOŠKI"	0
7826	2020-07-22 21:00:00	"DA"	"JASNO"	32	"MOŠKI"	0,94
1416	2020-02-03 21:00:00	"DA"	"NEZNANO"	48	"MOŠKI"	0
6927	2020-07-02 13:00:00	"NE"	"JASNO"	49	"ŽENSKI"	0
74	2020-01-05 09:00:00	"DA"	"JASNO"	35	"MOŠKI"	0,44
460	2020-01-10 11:00:00	"DA"	"JASNO"	23	"MOŠKI"	0
7735	2020-07-17 05:00:00	"NE"	"OBLAÈNO"	49	"MOŠKI"	0
6670	2020-06-28 18:00:00	"DA"	"JASNO"	24	"MOŠKI"	0
7258	2020-07-11 12:00:00	"DA"	"JASNO"	59	"MOŠKI"	0,58
6086	2020-06-15 15:00:00	"NE"	"DEŽEVNO"	20	"MOŠKI"	0
8989	2020-08-13 12:00:00	"DA"	"JASNO"	54	"MOŠKI"	0
8606	2020-08-05 09:00:00	"DA"	"DEŽEVNO"	55	"MOŠKI"	0
1360	2020-01-31 22:00:00	"DA"	"NEZNANO"	41	"ŽENSKI"	0
1349	2020-01-31 15:00:00	"NE"	"OBLAÈNO"	61	"MOŠKI"	0
5868	2020-06-11 15:00:00	"DA"	"JASNO"	34	"MOŠKI"	0
5375	2020-05-30 12:00:00	"DA"	"OBLAÈNO"	19	"MOŠKI"	0
4752	2020-05-14 15:00:00	"DA"	"JASNO"	19	"ŽENSKI"	0
4700	2020-04-30 10:00:00	"DA"	"JASNO"	81	"MOŠKI"	0
5737	2020-06-04 19:00:00	"DA"	"DEŽEVNO"	30	"ŽENSKI"	0
298	2020-01-09 15:00:00	"DA"	"JASNO"	31	"ŽENSKI"	0
8970	2020-08-11 14:00:00	"NE"	"OBLAÈNO"	74	"MOŠKI"	0
778	2020-01-15 17:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
8104	2020-07-27 10:00:00	"DA"	"JASNO"	32	"MOŠKI"	0
123	2020-01-06 08:00:00	"DA"	"JASNO"	20	"ŽENSKI"	0
4783	2020-05-09 13:00:00	"DA"	"JASNO"	34	"MOŠKI"	0
1855	2020-01-27 08:00:00	"NE"	"OBLAÈNO"	72	"ŽENSKI"	0
3657	2020-03-31 18:00:00	"NE"	"JASNO"	41	"MOŠKI"	0,77
2704	2020-03-02 17:00:00	"DA"	"OBLAÈNO"	23	"MOŠKI"	0
6692	2020-06-26 10:00:00	"NE"	"JASNO"	22	"MOŠKI"	0
7245	2020-07-08 17:00:00	"DA"	"JASNO"	60	"ŽENSKI"	0
6360	2020-06-16 13:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
9914	2020-08-31 16:00:00	"DA"	"DEŽEVNO"	49	"MOŠKI"	0
4740	2020-05-10 13:00:00	"DA"	"OBLAÈNO"	69	"ŽENSKI"	0
9735	2020-08-28 20:00:00	"NE"	"JASNO"	35	"MOŠKI"	0
5099	2020-05-18 11:00:00	"DA"	"JASNO"	89	"MOŠKI"	0
5475	2020-06-01 14:00:00	"NE"	"JASNO"	19	"ŽENSKI"	0
5775	2020-06-09 15:00:00	"NE"	"JASNO"	72	"MOŠKI"	0
1355	2020-02-02 03:00:00	"DA"	"OBLAÈNO"	19	"MOŠKI"	0
7942	2020-07-22 13:00:00	"DA"	"JASNO"	28	"ŽENSKI"	0
7738	2020-07-17 14:00:00	"DA"	"OBLAÈNO"	79	"MOŠKI"	0
3021	2020-03-08 06:00:00	"DA"	"JASNO"	23	"MOŠKI"	0,8
827	2020-01-13 19:00:00	"DA"	"JASNO"	44	"MOŠKI"	0
4476	2020-05-07 14:00:00	"DA"	"JASNO"	30	"ŽENSKI"	0
3992	2020-04-18 14:00:00	"DA"	"JASNO"	56	"ŽENSKI"	0
5259	2020-05-28 00:00:00	"DA"	"JASNO"	28	"ŽENSKI"	0,68
7907	2020-07-22 17:00:00	"NE"	"DEŽEVNO"	23	"MOŠKI"	0
7877	2020-07-24 01:00:00	"DA"	"DEŽEVNO"	24	"ŽENSKI"	0
5491	2020-05-31 16:00:00	"DA"	"OBLAÈNO"	44	"MOŠKI"	0
3622	2020-03-26 11:00:00	"DA"	"OBLAÈNO"	44	"ŽENSKI"	0
3870	2020-04-09 20:00:00	"DA"	"JASNO"	26	"MOŠKI"	0
7213	2020-07-02 09:00:00	"DA"	"JASNO"	81	"ŽENSKI"	0
2967	2020-03-06 07:00:00	"NE"	"OBLAÈNO"	20	"MOŠKI"	0
73	2020-01-06 20:00:00	"DA"	"OBLAÈNO"	32	"MOŠKI"	0,05
1365	2020-02-03 14:00:00	"NE"	"OBLAÈNO"	55	"MOŠKI"	0
2601	2020-02-28 16:00:00	"DA"	"JASNO"	61	"MOŠKI"	0
1343	2020-01-31 13:00:00	"NE"	"OBLAÈNO"	68	"MOŠKI"	0
3459	2020-03-15 09:00:00	"DA"	"JASNO"	64	"MOŠKI"	0
6789	2020-06-24 16:00:00	"DA"	"JASNO"	57	"ŽENSKI"	0
3956	2020-04-08 16:00:00	"DA"	"JASNO"	43	"MOŠKI"	0,56
3485	2020-03-06 16:00:00	"DA"	"OBLAÈNO"	70	"MOŠKI"	0
4074	2020-04-18 16:00:00	"DA"	"JASNO"	47	"ŽENSKI"	0
8445	2020-08-02 20:00:00	"DA"	"JASNO"	78	"ŽENSKI"	0
2805	2020-03-05 06:00:00	"NE"	"MEGLA"	61	"MOŠKI"	0
2784	2020-02-24 10:00:00	"DA"	"JASNO"	39	"MOŠKI"	0
6448	2020-06-24 10:00:00	"DA"	"JASNO"	49	"MOŠKI"	0
7321	2020-07-13 05:00:00	"NE"	"JASNO"	27	"MOŠKI"	0
41	2020-01-03 10:00:00	"DA"	"JASNO"	37	"MOŠKI"	0
3987	2020-04-09 08:00:00	"DA"	"JASNO"	33	"MOŠKI"	0
6788	2020-07-01 16:00:00	"DA"	"JASNO"	40	"ŽENSKI"	0
2801	2020-03-03 18:00:00	"DA"	"DEŽEVNO"	77	"MOŠKI"	0
728	2020-01-17 21:00:00	"DA"	"JASNO"	60	"ŽENSKI"	0
388	2020-01-02 20:00:00	"DA"	"OBLAÈNO"	31	"MOŠKI"	0
1608	2020-02-08 19:00:00	"DA"	"JASNO"	26	"MOŠKI"	0
427	2020-01-13 17:00:00	"DA"	"OBLAÈNO"	70	"MOŠKI"	0
3159	2020-03-12 19:00:00	"NE"	"OBLAÈNO"	20	"MOŠKI"	0
102	2020-01-03 15:00:00	"DA"	"JASNO"	56	"MOŠKI"	0
8972	2020-08-11 14:00:00	"NE"	"JASNO"	36	"MOŠKI"	0,62
6610	2020-06-23 06:00:00	"DA"	"JASNO"	36	"MOŠKI"	0
9416	2020-08-18 06:00:00	"NE"	"JASNO"	23	"MOŠKI"	0
5372	2020-05-30 20:00:00	"DA"	"JASNO"	26	"MOŠKI"	0
3793	2020-04-09 02:00:00	"DA"	"JASNO"	18	"MOŠKI"	0
7518	2020-07-14 19:00:00	"NE"	"JASNO"	84	"MOŠKI"	0,71
7599	2020-07-16 12:00:00	"DA"	"JASNO"	42	"ŽENSKI"	0
8334	2020-07-07 06:00:00	"DA"	"JASNO"	35	"ŽENSKI"	0
4909	2020-05-19 12:00:00	"DA"	"DEŽEVNO"	62	"MOŠKI"	0
2681	2020-02-27 11:00:00	"DA"	"JASNO"	24	"MOŠKI"	0
2289	2020-02-22 18:00:00	"DA"	"JASNO"	18	"ŽENSKI"	0
7006	2020-06-26 10:00:00	"DA"	"JASNO"	46	"MOŠKI"	0
4416	2020-05-07 09:00:00	"NE"	"JASNO"	73	"MOŠKI"	0
6151	2020-06-17 18:00:00	"DA"	"JASNO"	38	"ŽENSKI"	0
3063	2020-03-08 06:00:00	"NE"	"JASNO"	18	"ŽENSKI"	0
2061	2020-02-10 17:00:00	"DA"	"OBLAÈNO"	64	"MOŠKI"	0
2759	2020-03-04 12:00:00	"NE"	"JASNO"	70	"ŽENSKI"	0
9912	2020-08-31 06:00:00	"NE"	"OBLAÈNO"	22	"MOŠKI"	0
9600	2020-08-20 14:00:00	"NE"	"JASNO"	32	"MOŠKI"	0
5193	2020-05-25 18:00:00	"DA"	"JASNO"	22	"MOŠKI"	0,14
9014	2020-07-23 13:00:00	"DA"	"JASNO"	33	"MOŠKI"	0
2235	2020-02-18 12:00:00	"DA"	"OBLAÈNO"	21	"MOŠKI"	0
6829	2020-07-02 09:00:00	"DA"	"JASNO"	63	"MOŠKI"	0
1965	2020-02-16 20:00:00	"DA"	"JASNO"	19	"MOŠKI"	0
9540	2020-08-19 18:00:00	"DA"	"JASNO"	43	"MOŠKI"	0,29
8703	2020-08-08 15:00:00	"DA"	"JASNO"	70	"MOŠKI"	0,47
8913	2020-08-10 10:00:00	"NE"	"JASNO"	53	"MOŠKI"	0
3538	2020-03-26 06:00:00	"NE"	"SNEG"	41	"ŽENSKI"	0
6138	2020-06-16 11:00:00	"DA"	"OBLAÈNO"	80	"MOŠKI"	0
664	2020-01-17 08:00:00	"DA"	"JASNO"	42	"ŽENSKI"	0
5261	2020-05-27 06:00:00	"NE"	"JASNO"	38	"MOŠKI"	0
2585	2020-03-01 14:00:00	"NE"	"DEŽEVNO"	57	"MOŠKI"	0
6658	2020-06-25 12:00:00	"DA"	"JASNO"	30	"ŽENSKI"	0
